Date,Covid Vaccines,Flu Shots,Both Vaccines
2022-02,48482.0,1570.0,50185.0
2022-02,61371.0,1179.0,62570.0
2022-02,37366.0,641.0,38007.0
2022-02,93810.0,1078.0,30247.0
2022-02,26784.0,969.0,27757.0
2022-02,25667.0,960.0,26640.0
2022-02,24968.0,849.0,25821.0
2022-02,23209.0,807.0,24020.0
2022-02,27801.0,389.0,30202.0
2022-02,21581.0,294.0,21913.0
2022-02,33999.0,558.0,13042.0
2022-02,14882.0,564.0,15472.0
2022-02,10873.0,439.0,11331.0
2022-02,12996.0,542.0,13577.0
2022-02,13418.0,466.0,13915.0
2022-02,77016.0,33.0,80058.0
2022-02,24187.0,50.0,25501.0
2022-03,14210.0,291.0,6041.0
2022-03,199.0,6.0,205.0
2022-03,6481.0,282.0,6775.0
2022-03,7558.0,205.0,7798.0
2022-03,8761.0,291.0,9075.0
2022-03,13148.0,240.0,13830.0
2022-03,738.0,40.0,801.0
2022-03,6373.0,269.0,4287.0
2022-03,2389.0,265.0,5097.0
2022-03,5453.0,301.0,5800.0
