Date,Dosages Received,1st Dosage,2nd Dosage
2021-08,51883.0,48535.0,3348.0
2021-08,98548.0,67142.0,31406.0
2021-08,80817.0,55108.0,25709.0
2021-08,79608.0,60866.0,18742.0
2021-08,74595.0,59253.0,15342.0
2021-08,80014.0,55634.0,24380.0
2021-08,128534.0,126189.0,2345.0
2021-08,44250.0,42639.0,1611.0
2021-08,69496.0,54904.0,14592.0
2021-08,60565.0,47132.0,13433.0
2021-08,64142.0,48692.0,15450.0
2021-08,55314.0,40730.0,14584.0
2021-08,60000.0,37270.0,22730.0
2021-08,78845.0,75063.0,3782.0
2021-08,30018.0,27087.0,2931.0
2021-08,54833.0,30995.0,23838.0
2021-09,50771.0,23799.0,26972.0
2021-09,54114.0,20019.0,34095.0
2021-09,49550.0,23926.0,25624.0
2021-09,50620.0,10542.0,40078.0
2021-09,46820.0,12053.0,34767.0
2021-09,41608.0,11149.0,30459.0
2021-09,40826.0,9905.0,30921.0
2021-09,41581.0,11776.0,29805.0
2021-09,40864.0,11002.0,29862.0
2021-09,125682.0,9823.0,115859.0
2021-09,37703.0,5420.0,32283.0
2021-09,55441.0,9841.0,45600.0
2021-09,25147.0,6234.0,18913.0
2021-09,19479.0,6177.0,13302.0
2021-09,15931.0,6491.0,9440.0
2021-09,6538.0,1675.0,4863.0
